Region,CSA meaning: (1/1/04 - 3/15/24),local eggs: (1/1/04 - 3/15/24),local honey: (1/1/04 - 3/15/24),local farms: (1/1/04 - 3/15/24)
Montana,16%,9%,49%,26%
Vermont,9%,8%,30%,53%
New Mexico,12%,10%,52%,26%
West Virginia,12%,10%,46%,32%
Washington,10%,11%,42%,37%
Rhode Island,7%,7%,44%,42%
Minnesota,17%,10%,39%,34%
Oregon,9%,9%,44%,38%
Idaho,9%,10%,50%,31%
Maine,9%,8%,33%,50%
Delaware,8%,6%,51%,35%
Utah,11%,9%,50%,30%
South Carolina,7%,8%,51%,34%
Kansas,12%,7%,52%,29%
Wisconsin,13%,9%,39%,39%
Tennessee,4%,3%,78%,15%
New Hampshire,6%,10%,37%,47%
Kentucky,7%,7%,64%,22%
Arkansas,9%,9%,57%,25%
New Jersey,10%,7%,50%,33%
Michigan,12%,10%,37%,41%
Alaska,13%,13%,52%,22%
Iowa,13%,11%,41%,35%
North Dakota,17%,8%,37%,38%
Pennsylvania,8%,7%,46%,39%
Indiana,10%,8%,50%,32%
Florida,9%,9%,51%,31%
North Carolina,6%,6%,58%,30%
Maryland,8%,7%,44%,41%
Louisiana,10%,7%,57%,26%
Ohio,9%,11%,46%,34%
Illinois,12%,8%,51%,29%
New York,10%,6%,50%,34%
Massachusetts,7%,10%,40%,43%
Virginia,8%,8%,53%,31%
Arizona,9%,10%,49%,32%
Hawaii,8%,24%,29%,39%
Mississippi,9%,8%,58%,25%
Missouri,8%,8%,53%,31%
Colorado,8%,10%,53%,29%
Connecticut,6%,7%,48%,39%
Nebraska,10%,6%,55%,29%
Georgia,7%,7%,60%,26%
Oklahoma,8%,8%,59%,25%
Texas,9%,8%,57%,26%
Alabama,6%,8%,60%,26%
South Dakota,11%,10%,46%,33%
California,8%,9%,50%,33%
Nevada,6%,8%,65%,21%
Wyoming,8%,15%,61%,16%
District of Columbia,6%,7%,48%,39%
